[18:09:40] src/nnvm/legacy_json_util.cc:209: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[18:09:40] src/nnvm/legacy_json_util.cc:217: Symbol successfully upgraded!
[18:09:40] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: ./caltech-256-10-train.rec, use 2 threads for decoding..
2019-12-17 18:18:34,083 Batch 15 compute time: 1.3297390937805176 secs
2019-12-17 18:18:34,115 Batch 15 update time: 0.03185558319091797 secs
2019-12-17 18:18:34,118 Batch 15 update metric time 0.002413511276245117 secs
2019-12-17 18:18:34,119 Batch 15 prepare time 0.0003695487976074219 secs
2019-12-17 18:18:34,119 End Batch callbacks time 0.00010800361633300781 secs
2019-12-17 18:18:35,460 Batch 16 compute time: 1.339569330215454 secs
2019-12-17 18:18:35,494 Batch 16 update time: 0.033620595932006836 secs
2019-12-17 18:18:35,497 Batch 16 update metric time 0.0025670528411865234 secs
2019-12-17 18:18:35,498 Batch 16 prepare time 0.0003132820129394531 secs
2019-12-17 18:18:35,498 End Batch callbacks time 0.00010275840759277344 secs
2019-12-17 18:18:36,833 Batch 17 compute time: 1.3331997394561768 secs
2019-12-17 18:18:36,868 Batch 17 update time: 0.03406667709350586 secs
2019-12-17 18:18:36,871 Batch 17 update metric time 0.002656698226928711 secs
2019-12-17 18:18:36,872 Batch 17 prepare time 0.00045180320739746094 secs
2019-12-17 18:18:36,872 End Batch callbacks time 0.00010776519775390625 secs
2019-12-17 18:18:38,202 Batch 18 compute time: 1.3281822204589844 secs
2019-12-17 18:18:38,238 Batch 18 update time: 0.035504817962646484 secs
2019-12-17 18:18:38,241 Batch 18 update metric time 0.0026009082794189453 secs
2019-12-17 18:18:38,241 Batch 18 prepare time 0.0003235340118408203 secs
2019-12-17 18:18:38,242 End Batch callbacks time 0.00017499923706054688 secs
2019-12-17 18:18:39,587 Batch 19 compute time: 1.3431816101074219 secs
2019-12-17 18:18:39,622 Batch 19 update time: 0.034938812255859375 secs
2019-12-17 18:18:39,625 Batch 19 update metric time 0.002736330032348633 secs
2019-12-17 18:18:39,626 Batch 19 prepare time 0.00046539306640625 secs
2019-12-17 18:18:39,627 End Batch callbacks time 0.0001800060272216797 secs
2019-12-17 18:18:40,951 Batch 20 compute time: 1.3233098983764648 secs
2019-12-17 18:18:40,988 Batch 20 update time: 0.03609204292297363 secs
2019-12-17 18:18:40,991 Batch 20 update metric time 0.002327442169189453 secs
2019-12-17 18:18:40,991 Batch 20 prepare time 0.0003383159637451172 secs
2019-12-17 18:18:40,992 Epoch[2] Batch [10-20]	Speed: 11.66 samples/sec	accuracy=0.606250
2019-12-17 18:18:40,992 End Batch callbacks time 0.00039076805114746094 secs
2019-12-17 18:18:42,315 Batch 21 compute time: 1.320791482925415 secs
2019-12-17 18:18:42,350 Batch 21 update time: 0.03468632698059082 secs
2019-12-17 18:18:42,353 Batch 21 update metric time 0.0029020309448242188 secs
2019-12-17 18:18:42,354 Batch 21 prepare time 0.0004909038543701172 secs
2019-12-17 18:18:42,354 End Batch callbacks time 0.000186920166015625 secs
2019-12-17 18:18:43,680 Batch 22 compute time: 1.3239974975585938 secs
2019-12-17 18:18:43,714 Batch 22 update time: 0.03354477882385254 secs
2019-12-17 18:18:43,717 Batch 22 update metric time 0.0027017593383789062 secs
2019-12-17 18:18:43,718 Batch 22 prepare time 0.0003688335418701172 secs
2019-12-17 18:18:43,719 End Batch callbacks time 0.00036907196044921875 secs
2019-12-17 18:18:45,059 Batch 23 compute time: 1.3380780220031738 secs
2019-12-17 18:18:45,092 Batch 23 update time: 0.033003807067871094 secs
2019-12-17 18:18:45,095 Batch 23 update metric time 0.0028362274169921875 secs
2019-12-17 18:18:45,096 Batch 23 prepare time 0.0005283355712890625 secs
2019-12-17 18:18:45,097 End Batch callbacks time 0.0002655982971191406 secs
2019-12-17 18:18:46,431 Batch 24 compute time: 1.3322875499725342 secs
2019-12-17 18:18:46,465 Batch 24 update time: 0.03324389457702637 secs
2019-12-17 18:18:46,468 Batch 24 update metric time 0.0025453567504882812 secs
2019-12-17 18:18:46,469 Batch 24 prepare time 0.00033926963806152344 secs
2019-12-17 18:18:46,469 End Batch callbacks time 0.00010967254638671875 secs
2019-12-17 18:18:47,808 Batch 25 compute time: 1.3377845287322998 secs
2019-12-17 18:18:47,843 Batch 25 update time: 0.034149169921875 secs
2019-12-17 18:18:47,846 Batch 25 update metric time 0.002544403076171875 secs
2019-12-17 18:18:47,847 Batch 25 prepare time 0.0003895759582519531 secs
2019-12-17 18:18:47,847 End Batch callbacks time 0.00010824203491210938 secs
2019-12-17 18:18:49,176 Batch 26 compute time: 1.3267030715942383 secs
2019-12-17 18:18:49,210 Batch 26 update time: 0.03414177894592285 secs
2019-12-17 18:18:49,213 Batch 26 update metric time 0.0025582313537597656 secs
2019-12-17 18:18:49,214 Batch 26 prepare time 0.0004208087921142578 secs
2019-12-17 18:18:49,214 End Batch callbacks time 0.00010561943054199219 secs
2019-12-17 18:18:50,550 Batch 27 compute time: 1.3339660167694092 secs
2019-12-17 18:18:50,583 Batch 27 update time: 0.03252077102661133 secs
2019-12-17 18:18:50,586 Batch 27 update metric time 0.002718210220336914 secs
2019-12-17 18:18:50,587 Batch 27 prepare time 0.0003323554992675781 secs
2019-12-17 18:18:50,588 End Batch callbacks time 0.00019431114196777344 secs
2019-12-17 18:18:51,925 Batch 28 compute time: 1.3352978229522705 secs
2019-12-17 18:18:51,962 Batch 28 update time: 0.036885976791381836 secs
2019-12-17 18:18:51,965 Batch 28 update metric time 0.002927064895629883 secs
2019-12-17 18:18:51,966 Batch 28 prepare time 0.000476837158203125 secs
2019-12-17 18:18:51,967 End Batch callbacks time 0.00016927719116210938 secs
2019-12-17 18:18:53,316 Batch 29 compute time: 1.3478078842163086 secs
2019-12-17 18:18:53,351 Batch 29 update time: 0.03384590148925781 secs
2019-12-17 18:18:53,354 Batch 29 update metric time 0.0027627944946289062 secs
2019-12-17 18:18:53,355 Batch 29 prepare time 0.00036263465881347656 secs
2019-12-17 18:18:53,355 End Batch callbacks time 0.0002841949462890625 secs
2019-12-17 18:18:54,708 Batch 30 compute time: 1.3508925437927246 secs
2019-12-17 18:18:54,742 Batch 30 update time: 0.03358149528503418 secs
2019-12-17 18:18:54,745 Batch 30 update metric time 0.0028519630432128906 secs
2019-12-17 18:18:54,747 Batch 30 prepare time 0.0005404949188232422 secs
2019-12-17 18:18:54,747 Epoch[2] Batch [20-30]	Speed: 11.63 samples/sec	accuracy=0.575000
2019-12-17 18:18:54,748 End Batch callbacks time 0.0006623268127441406 secs
2019-12-17 18:18:56,089 Batch 31 compute time: 1.3392775058746338 secs
2019-12-17 18:18:56,124 Batch 31 update time: 0.03490734100341797 secs
2019-12-17 18:18:56,127 Batch 31 update metric time 0.0027904510498046875 secs
2019-12-17 18:18:56,128 Batch 31 prepare time 0.00036907196044921875 secs
2019-12-17 18:18:56,129 End Batch callbacks time 0.0002875328063964844 secs
2019-12-17 18:18:57,472 Batch 32 compute time: 1.34181809425354 secs
2019-12-17 18:18:57,507 Batch 32 update time: 0.034009695053100586 secs
2019-12-17 18:18:57,510 Batch 32 update metric time 0.002694845199584961 secs
2019-12-17 18:18:57,511 Batch 32 prepare time 0.000598907470703125 secs
2019-12-17 18:18:57,512 End Batch callbacks time 0.00017595291137695312 secs
2019-12-17 18:18:58,853 Batch 33 compute time: 1.3396334648132324 secs
2019-12-17 18:18:58,889 Batch 33 update time: 0.034836530685424805 secs
2019-12-17 18:18:58,892 Batch 33 update metric time 0.0029180049896240234 secs
2019-12-17 18:18:58,893 Batch 33 prepare time 0.0003535747528076172 secs
2019-12-17 18:18:58,893 End Batch callbacks time 0.0002887248992919922 secs
2019-12-17 18:19:00,219 Batch 34 compute time: 1.324028730392456 secs
2019-12-17 18:19:00,252 Batch 34 update time: 0.03182530403137207 secs
2019-12-17 18:19:00,255 Batch 34 update metric time 0.002807140350341797 secs
2019-12-17 18:19:00,256 Batch 34 prepare time 0.0004830360412597656 secs
2019-12-17 18:19:00,256 End Batch callbacks time 0.00018548965454101562 secs
2019-12-17 18:19:01,606 Batch 35 compute time: 1.3479812145233154 secs
2019-12-17 18:19:01,640 Batch 35 update time: 0.03414344787597656 secs
2019-12-17 18:19:01,644 Batch 35 update metric time 0.002646923065185547 secs
2019-12-17 18:19:01,644 Batch 35 prepare time 0.00032210350036621094 secs
2019-12-17 18:19:01,645 End Batch callbacks time 0.0001823902130126953 secs
2019-12-17 18:19:02,994 Batch 36 compute time: 1.3482146263122559 secs
2019-12-17 18:19:03,029 Batch 36 update time: 0.0345611572265625 secs
2019-12-17 18:19:03,033 Batch 36 update metric time 0.0027952194213867188 secs
2019-12-17 18:19:03,033 Batch 36 prepare time 0.0003018379211425781 secs
2019-12-17 18:19:03,034 End Batch callbacks time 0.00010752677917480469 secs
2019-12-17 18:19:04,378 Batch 37 compute time: 1.3420252799987793 secs
2019-12-17 18:19:04,413 Batch 37 update time: 0.034287452697753906 secs
2019-12-17 18:19:04,416 Batch 37 update metric time 0.0026073455810546875 secs
2019-12-17 18:19:04,416 Batch 37 prepare time 0.00046324729919433594 secs
2019-12-17 18:19:04,417 End Batch callbacks time 0.0001087188720703125 secs
2019-12-17 18:19:05,756 Batch 38 compute time: 1.3376662731170654 secs
2019-12-17 18:19:05,790 Batch 38 update time: 0.03376483917236328 secs
2019-12-17 18:19:05,793 Batch 38 update metric time 0.0026056766510009766 secs
2019-12-17 18:19:05,794 Batch 38 prepare time 0.0003197193145751953 secs
2019-12-17 18:19:05,795 End Batch callbacks time 0.00024008750915527344 secs
2019-12-17 18:19:07,133 Batch 39 compute time: 1.3371384143829346 secs
2019-12-17 18:19:07,168 Batch 39 update time: 0.03449225425720215 secs
2019-12-17 18:19:07,171 Batch 39 update metric time 0.00264739990234375 secs
2019-12-17 18:19:07,172 Batch 39 prepare time 0.0005507469177246094 secs
2019-12-17 18:19:07,173 End Batch callbacks time 0.00016164779663085938 secs
2019-12-17 18:19:08,505 Batch 40 compute time: 1.3296868801116943 secs
2019-12-17 18:19:08,536 Batch 40 update time: 0.030502796173095703 secs
2019-12-17 18:19:08,538 Batch 40 update metric time 0.0021560192108154297 secs
2019-12-17 18:19:08,539 Batch 40 prepare time 0.0002849102020263672 secs
2019-12-17 18:19:08,539 Epoch[2] Batch [30-40]	Speed: 11.60 samples/sec	accuracy=0.643750
2019-12-17 18:19:08,540 End Batch callbacks time 0.0005805492401123047 secs
2019-12-17 18:19:09,883 Batch 41 compute time: 1.3424181938171387 secs
2019-12-17 18:19:09,919 Batch 41 update time: 0.03521227836608887 secs
2019-12-17 18:19:09,922 Batch 41 update metric time 0.0027649402618408203 secs
2019-12-17 18:19:09,923 Batch 41 prepare time 0.0004668235778808594 secs
2019-12-17 18:19:09,924 End Batch callbacks time 0.00018262863159179688 secs
2019-12-17 18:19:11,270 Batch 42 compute time: 1.3450956344604492 secs
2019-12-17 18:19:11,311 Batch 42 update time: 0.04010963439941406 secs
2019-12-17 18:19:11,314 Batch 42 update metric time 0.0025529861450195312 secs
2019-12-17 18:19:11,315 Batch 42 prepare time 0.0003895759582519531 secs
2019-12-17 18:19:11,315 End Batch callbacks time 0.00018024444580078125 secs
2019-12-17 18:19:12,660 Batch 43 compute time: 1.3431727886199951 secs
2019-12-17 18:19:12,692 Batch 43 update time: 0.031795501708984375 secs
2019-12-17 18:19:12,695 Batch 43 update metric time 0.0022232532501220703 secs
2019-12-17 18:19:12,696 Batch 43 prepare time 0.00042724609375 secs
2019-12-17 18:19:12,696 End Batch callbacks time 0.00010609626770019531 secs
2019-12-17 18:19:14,040 Batch 44 compute time: 1.3426613807678223 secs
2019-12-17 18:19:14,079 Batch 44 update time: 0.03817558288574219 secs
2019-12-17 18:19:14,081 Batch 44 update metric time 0.0022840499877929688 secs
2019-12-17 18:19:14,082 Batch 44 prepare time 0.00030684471130371094 secs
2019-12-17 18:19:14,082 End Batch callbacks time 0.00010609626770019531 secs
2019-12-17 18:19:15,425 Batch 45 compute time: 1.3410227298736572 secs
2019-12-17 18:19:15,459 Batch 45 update time: 0.03322410583496094 secs
2019-12-17 18:19:15,463 Batch 45 update metric time 0.003065347671508789 secs
2019-12-17 18:19:15,463 Batch 45 prepare time 0.0004611015319824219 secs
2019-12-17 18:19:15,464 End Batch callbacks time 0.00010442733764648438 secs
2019-12-17 18:19:16,810 Batch 46 compute time: 1.3443059921264648 secs
2019-12-17 18:19:16,846 Batch 46 update time: 0.03569459915161133 secs
2019-12-17 18:19:16,849 Batch 46 update metric time 0.002673625946044922 secs
2019-12-17 18:19:16,850 Batch 46 prepare time 0.0003275871276855469 secs
2019-12-17 18:19:16,850 End Batch callbacks time 0.000179290771484375 secs
2019-12-17 18:19:18,191 Batch 47 compute time: 1.3392281532287598 secs
2019-12-17 18:19:18,226 Batch 47 update time: 0.03419756889343262 secs
2019-12-17 18:19:18,229 Batch 47 update metric time 0.0025947093963623047 secs
2019-12-17 18:19:18,229 Batch 47 prepare time 0.0003104209899902344 secs
2019-12-17 18:19:18,230 End Batch callbacks time 0.000179290771484375 secs
2019-12-17 18:19:19,566 Batch 48 compute time: 1.3349571228027344 secs
2019-12-17 18:19:19,600 Batch 48 update time: 0.03330802917480469 secs
2019-12-17 18:19:19,603 Batch 48 update metric time 0.0026798248291015625 secs
2019-12-17 18:19:19,604 Batch 48 prepare time 0.0004885196685791016 secs
2019-12-17 18:19:19,605 End Batch callbacks time 0.00018358230590820312 secs
2019-12-17 18:19:20,941 Batch 49 compute time: 1.3347346782684326 secs
2019-12-17 18:19:20,976 Batch 49 update time: 0.03475594520568848 secs
2019-12-17 18:19:20,979 Batch 49 update metric time 0.0026493072509765625 secs
2019-12-17 18:19:20,980 Batch 49 prepare time 0.00031185150146484375 secs
2019-12-17 18:19:20,980 End Batch callbacks time 0.00017976760864257812 secs
2019-12-17 18:19:22,329 Batch 50 compute time: 1.3469159603118896 secs
2019-12-17 18:19:22,367 Batch 50 update time: 0.03733515739440918 secs
2019-12-17 18:19:22,370 Batch 50 update metric time 0.002605915069580078 secs
2019-12-17 18:19:22,371 Batch 50 prepare time 0.0005559921264648438 secs
2019-12-17 18:19:22,371 Epoch[2] Batch [40-50]	Speed: 11.57 samples/sec	accuracy=0.662500
2019-12-17 18:19:22,371 End Batch callbacks time 0.0004715919494628906 secs
2019-12-17 18:19:23,717 Batch 51 compute time: 1.3439476490020752 secs
2019-12-17 18:19:23,752 Batch 51 update time: 0.034154415130615234 secs
2019-12-17 18:19:23,755 Batch 51 update metric time 0.0032110214233398438 secs
2019-12-17 18:19:23,757 Batch 51 prepare time 0.0015306472778320312 secs
2019-12-17 18:19:23,758 End Batch callbacks time 0.00019097328186035156 secs
2019-12-17 18:19:25,094 Batch 52 compute time: 1.3347599506378174 secs
2019-12-17 18:19:25,130 Batch 52 update time: 0.03491997718811035 secs
2019-12-17 18:19:25,133 Batch 52 update metric time 0.00273895263671875 secs
2019-12-17 18:19:25,134 Batch 52 prepare time 0.0005276203155517578 secs
2019-12-17 18:19:25,135 End Batch callbacks time 0.00025916099548339844 secs
2019-12-17 18:19:26,476 Batch 53 compute time: 1.3388373851776123 secs
2019-12-17 18:19:26,513 Batch 53 update time: 0.035860538482666016 secs
2019-12-17 18:19:26,516 Batch 53 update metric time 0.002925395965576172 secs
2019-12-17 18:19:26,517 Batch 53 prepare time 0.0003437995910644531 secs
2019-12-17 18:19:26,518 End Batch callbacks time 0.0002694129943847656 secs
2019-12-17 18:19:27,857 Batch 54 compute time: 1.3370907306671143 secs
2019-12-17 18:19:27,891 Batch 54 update time: 0.033689260482788086 secs
2019-12-17 18:19:27,894 Batch 54 update metric time 0.002655029296875 secs
2019-12-17 18:19:27,895 Batch 54 prepare time 0.0006039142608642578 secs
2019-12-17 18:19:27,896 End Batch callbacks time 0.0002758502960205078 secs
2019-12-17 18:19:29,240 Batch 55 compute time: 1.342622995376587 secs
2019-12-17 18:19:29,278 Batch 55 update time: 0.03716254234313965 secs
2019-12-17 18:19:29,281 Batch 55 update metric time 0.0027976036071777344 secs
2019-12-17 18:19:29,282 Batch 55 prepare time 0.00034928321838378906 secs
2019-12-17 18:19:29,283 End Batch callbacks time 0.0002689361572265625 secs
2019-12-17 18:19:30,611 Batch 56 compute time: 1.3262596130371094 secs
2019-12-17 18:19:30,647 Batch 56 update time: 0.035729169845581055 secs
2019-12-17 18:19:30,650 Batch 56 update metric time 0.0025718212127685547 secs
2019-12-17 18:19:30,651 Batch 56 prepare time 0.00037741661071777344 secs
2019-12-17 18:19:30,652 End Batch callbacks time 0.00018143653869628906 secs
2019-12-17 18:19:31,986 Batch 57 compute time: 1.3321316242218018 secs
2019-12-17 18:19:32,021 Batch 57 update time: 0.03426194190979004 secs
2019-12-17 18:19:32,024 Batch 57 update metric time 0.002732992172241211 secs
2019-12-17 18:19:32,025 Batch 57 prepare time 0.0005426406860351562 secs
2019-12-17 18:19:32,026 End Batch callbacks time 0.00024771690368652344 secs
2019-12-17 18:19:33,359 Batch 58 compute time: 1.3314282894134521 secs
2019-12-17 18:19:33,392 Batch 58 update time: 0.03280973434448242 secs
2019-12-17 18:19:33,396 Batch 58 update metric time 0.002763986587524414 secs
2019-12-17 18:19:33,396 Batch 58 prepare time 0.0003714561462402344 secs
2019-12-17 18:19:33,397 End Batch callbacks time 0.0002734661102294922 secs
2019-12-17 18:19:34,728 Batch 59 compute time: 1.3283734321594238 secs
2019-12-17 18:19:34,763 Batch 59 update time: 0.03461718559265137 secs
2019-12-17 18:19:34,765 Batch 59 update metric time 0.002280712127685547 secs
2019-12-17 18:19:34,766 Batch 59 prepare time 0.0005850791931152344 secs
2019-12-17 18:19:34,767 End Batch callbacks time 0.0001964569091796875 secs
2019-12-17 18:19:36,108 Batch 60 compute time: 1.3393678665161133 secs
2019-12-17 18:19:36,144 Batch 60 update time: 0.035001516342163086 secs
2019-12-17 18:19:36,147 Batch 60 update metric time 0.002644062042236328 secs
2019-12-17 18:19:36,148 Batch 60 prepare time 0.00039124488830566406 secs
2019-12-17 18:19:36,148 Epoch[2] Batch [50-60]	Speed: 11.61 samples/sec	accuracy=0.643750
2019-12-17 18:19:36,149 End Batch callbacks time 0.0007059574127197266 secs
2019-12-17 18:19:37,474 Batch 61 compute time: 1.3238508701324463 secs
2019-12-17 18:19:37,509 Batch 61 update time: 0.03408670425415039 secs
2019-12-17 18:19:37,512 Batch 61 update metric time 0.0024874210357666016 secs
2019-12-17 18:19:37,513 Batch 61 prepare time 0.0004658699035644531 secs
2019-12-17 18:19:37,513 End Batch callbacks time 0.0002014636993408203 secs
2019-12-17 18:19:38,859 Batch 62 compute time: 1.344069480895996 secs
2019-12-17 18:19:38,894 Batch 62 update time: 0.03440093994140625 secs
2019-12-17 18:19:38,897 Batch 62 update metric time 0.0027112960815429688 secs
2019-12-17 18:19:38,897 Batch 62 prepare time 0.0003447532653808594 secs
2019-12-17 18:19:38,898 End Batch callbacks time 0.00017881393432617188 secs
2019-12-17 18:19:40,222 Batch 63 compute time: 1.3226492404937744 secs
2019-12-17 18:19:40,256 Batch 63 update time: 0.033571481704711914 secs
2019-12-17 18:19:40,259 Batch 63 update metric time 0.002627849578857422 secs
2019-12-17 18:19:40,260 Batch 63 prepare time 0.0005314350128173828 secs
2019-12-17 18:19:40,261 End Batch callbacks time 0.0001888275146484375 secs
2019-12-17 18:19:41,584 Batch 64 compute time: 1.3217103481292725 secs
2019-12-17 18:19:41,618 Batch 64 update time: 0.03339409828186035 secs
2019-12-17 18:19:41,621 Batch 64 update metric time 0.0026755332946777344 secs
2019-12-17 18:19:41,622 Batch 64 prepare time 0.00032258033752441406 secs
2019-12-17 18:19:41,622 End Batch callbacks time 0.0002124309539794922 secs
2019-12-17 18:19:42,961 Batch 65 compute time: 1.3375654220581055 secs
2019-12-17 18:19:42,996 Batch 65 update time: 0.03428959846496582 secs
2019-12-17 18:19:42,999 Batch 65 update metric time 0.002435445785522461 secs
2019-12-17 18:19:43,000 Batch 65 prepare time 0.00032138824462890625 secs
2019-12-17 18:19:43,000 End Batch callbacks time 0.00017881393432617188 secs
2019-12-17 18:19:44,335 Batch 66 compute time: 1.333845615386963 secs
2019-12-17 18:19:44,371 Batch 66 update time: 0.035272836685180664 secs
2019-12-17 18:19:44,374 Batch 66 update metric time 0.002573251724243164 secs
2019-12-17 18:19:44,375 Batch 66 prepare time 0.0005083084106445312 secs
2019-12-17 18:19:44,376 End Batch callbacks time 0.00018072128295898438 secs
2019-12-17 18:19:45,709 Batch 67 compute time: 1.3320260047912598 secs
2019-12-17 18:19:45,742 Batch 67 update time: 0.03229999542236328 secs
2019-12-17 18:19:45,745 Batch 67 update metric time 0.0024776458740234375 secs
2019-12-17 18:19:45,746 Batch 67 prepare time 0.0003514289855957031 secs
2019-12-17 18:19:45,746 End Batch callbacks time 0.00011587142944335938 secs
2019-12-17 18:19:47,090 Batch 68 compute time: 1.3421578407287598 secs
2019-12-17 18:19:47,127 Batch 68 update time: 0.03639674186706543 secs
2019-12-17 18:19:47,130 Batch 68 update metric time 0.0026438236236572266 secs
2019-12-17 18:19:47,131 Batch 68 prepare time 0.0005366802215576172 secs
2019-12-17 18:19:47,131 End Batch callbacks time 0.00018334388732910156 secs
2019-12-17 18:19:48,459 Batch 69 compute time: 1.3261373043060303 secs
2019-12-17 18:19:48,494 Batch 69 update time: 0.0341486930847168 secs
2019-12-17 18:19:48,496 Batch 69 update metric time 0.002276897430419922 secs
2019-12-17 18:19:48,497 Batch 69 prepare time 0.00032830238342285156 secs
2019-12-17 18:19:48,497 End Batch callbacks time 0.0001747608184814453 secs
2019-12-17 18:19:49,830 Batch 70 compute time: 1.3311684131622314 secs
2019-12-17 18:19:49,866 Batch 70 update time: 0.034877777099609375 secs
2019-12-17 18:19:49,869 Batch 70 update metric time 0.002541065216064453 secs
2019-12-17 18:19:49,869 Batch 70 prepare time 0.00046634674072265625 secs
2019-12-17 18:19:49,870 Epoch[2] Batch [60-70]	Speed: 11.66 samples/sec	accuracy=0.637500
2019-12-17 18:19:49,870 End Batch callbacks time 0.0004966259002685547 secs
2019-12-17 18:19:51,212 Batch 71 compute time: 1.3398821353912354 secs
2019-12-17 18:19:51,247 Batch 71 update time: 0.0344691276550293 secs
2019-12-17 18:19:51,250 Batch 71 update metric time 0.0027005672454833984 secs
2019-12-17 18:19:51,251 Batch 71 prepare time 0.0003628730773925781 secs
2019-12-17 18:19:51,251 End Batch callbacks time 0.0002532005310058594 secs
2019-12-17 18:19:52,589 Batch 72 compute time: 1.3357462882995605 secs
2019-12-17 18:19:52,625 Batch 72 update time: 0.036055564880371094 secs
2019-12-17 18:19:52,628 Batch 72 update metric time 0.0026290416717529297 secs
2019-12-17 18:19:52,629 Batch 72 prepare time 0.0004649162292480469 secs
2019-12-17 18:19:52,630 End Batch callbacks time 0.00018334388732910156 secs
2019-12-17 18:19:53,980 Batch 73 compute time: 1.3484432697296143 secs
2019-12-17 18:19:54,015 Batch 73 update time: 0.035065650939941406 secs
2019-12-17 18:19:54,019 Batch 73 update metric time 0.0026726722717285156 secs
2019-12-17 18:19:54,019 Batch 73 prepare time 0.0003616809844970703 secs
2019-12-17 18:19:54,020 End Batch callbacks time 0.000263214111328125 secs
2019-12-17 18:19:55,363 Batch 74 compute time: 1.3412983417510986 secs
2019-12-17 18:19:55,397 Batch 74 update time: 0.03355288505554199 secs
2019-12-17 18:19:55,400 Batch 74 update metric time 0.002440214157104492 secs
2019-12-17 18:19:55,401 Batch 74 prepare time 0.00038361549377441406 secs
2019-12-17 18:19:55,402 End Batch callbacks time 0.00026297569274902344 secs
2019-12-17 18:19:56,751 Batch 75 compute time: 1.3471407890319824 secs
2019-12-17 18:19:56,787 Batch 75 update time: 0.035463571548461914 secs
2019-12-17 18:19:56,790 Batch 75 update metric time 0.002470731735229492 secs
2019-12-17 18:19:56,791 Batch 75 prepare time 0.0005438327789306641 secs
2019-12-17 18:19:56,791 End Batch callbacks time 0.0001895427703857422 secs
2019-12-17 18:19:58,128 Batch 76 compute time: 1.3350930213928223 secs
2019-12-17 18:19:58,163 Batch 76 update time: 0.03501248359680176 secs
2019-12-17 18:19:58,166 Batch 76 update metric time 0.0023310184478759766 secs
2019-12-17 18:19:58,167 Batch 76 prepare time 0.0003123283386230469 secs
2019-12-17 18:19:58,167 End Batch callbacks time 0.00012969970703125 secs
2019-12-17 18:19:59,509 Batch 77 compute time: 1.3397271633148193 secs
2019-12-17 18:19:59,544 Batch 77 update time: 0.03527641296386719 secs
2019-12-17 18:19:59,548 Batch 77 update metric time 0.0026428699493408203 secs
2019-12-17 18:19:59,548 Batch 77 prepare time 0.0004668235778808594 secs
2019-12-17 18:19:59,549 End Batch callbacks time 0.00018835067749023438 secs
2019-12-17 18:20:00,880 Batch 78 compute time: 1.329803228378296 secs
2019-12-17 18:20:00,919 Batch 78 update time: 0.037786006927490234 secs
2019-12-17 18:20:00,922 Batch 78 update metric time 0.0027718544006347656 secs
2019-12-17 18:20:00,923 Batch 78 prepare time 0.00046372413635253906 secs
2019-12-17 18:20:00,924 End Batch callbacks time 0.0002982616424560547 secs
2019-12-17 18:20:02,264 Batch 79 compute time: 1.3388221263885498 secs
2019-12-17 18:20:02,301 Batch 79 update time: 0.03661203384399414 secs
2019-12-17 18:20:02,305 Batch 79 update metric time 0.0028073787689208984 secs
2019-12-17 18:20:02,305 Batch 79 prepare time 0.00045680999755859375 secs
2019-12-17 18:20:02,306 End Batch callbacks time 0.00018596649169921875 secs
2019-12-17 18:20:03,643 Batch 80 compute time: 1.3356571197509766 secs
2019-12-17 18:20:03,686 Batch 80 update time: 0.042151451110839844 secs
2019-12-17 18:20:03,689 Batch 80 update metric time 0.0028400421142578125 secs
2019-12-17 18:20:03,690 Batch 80 prepare time 0.00031828880310058594 secs
2019-12-17 18:20:03,690 Epoch[2] Batch [70-80]	Speed: 11.58 samples/sec	accuracy=0.687500
2019-12-17 18:20:03,690 End Batch callbacks time 0.0004391670227050781 secs
2019-12-17 18:20:05,017 Batch 81 compute time: 1.32456374168396 secs
2019-12-17 18:20:05,053 Batch 81 update time: 0.036374807357788086 secs
2019-12-17 18:20:05,056 Batch 81 update metric time 0.002521038055419922 secs
2019-12-17 18:20:05,057 Batch 81 prepare time 0.000484466552734375 secs
2019-12-17 18:20:05,058 End Batch callbacks time 0.00019693374633789062 secs
2019-12-17 18:20:06,396 Batch 82 compute time: 1.3369941711425781 secs
2019-12-17 18:20:06,441 Batch 82 update time: 0.0438840389251709 secs
2019-12-17 18:20:06,444 Batch 82 update metric time 0.002337217330932617 secs
2019-12-17 18:20:06,444 Batch 82 prepare time 0.00032591819763183594 secs
2019-12-17 18:20:06,445 End Batch callbacks time 0.00017881393432617188 secs
2019-12-17 18:20:07,784 Batch 83 compute time: 1.3383350372314453 secs
2019-12-17 18:20:07,815 Batch 83 update time: 0.030134201049804688 secs
2019-12-17 18:20:07,819 Batch 83 update metric time 0.0033936500549316406 secs
2019-12-17 18:20:07,820 Batch 83 prepare time 0.0005064010620117188 secs
2019-12-17 18:20:07,820 End Batch callbacks time 0.0001838207244873047 secs
2019-12-17 18:20:09,180 Batch 84 compute time: 1.357811689376831 secs
2019-12-17 18:20:09,211 Batch 84 update time: 0.03129005432128906 secs
2019-12-17 18:20:09,214 Batch 84 update metric time 0.0025272369384765625 secs
2019-12-17 18:20:09,215 Batch 84 prepare time 0.00031828880310058594 secs
2019-12-17 18:20:09,215 End Batch callbacks time 0.00012159347534179688 secs
2019-12-17 18:20:10,550 Batch 85 compute time: 1.3327078819274902 secs
2019-12-17 18:20:10,587 Batch 85 update time: 0.03683900833129883 secs
2019-12-17 18:20:10,590 Batch 85 update metric time 0.0026252269744873047 secs
